Group,Female,Hsgpa,ACT,SAT,Sem1gpa,Alg_A,Alg_DFW,CAT_pre,CAT_post,CAT_delta,ENGR_persist,INST_persist,On_Track_2,On_Track_3,On_Track_4,No_Math_4
Exp,1,3.62,22,,3.2353,0,0,7,14,7,1,1,1,1,1,0
Exp,0,3.88,,560,3.0625,0,0,5,13,8,1,1,1,1,1,0
Exp,1,3.68,23,,3.8125,1,0,10,11,1,1,1,1,1,1,0
Exp,0,3.09,25,,3.1333,0,0,7,18,11,0,0,1,0,0,1
Exp,0,2.94,,540,3.1,1,0,14,21,7,1,1,1,1,0,0
Exp,1,4.17,,540,3.1333,1,0,16,17,1,0,1,0,0,0,1
Exp,0,3.25,25,,2.6154,0,0,12,13,1,1,1,1,0,0,1
Exp,0,3.53,,570,3.7692,1,0,14,26,12,1,1,1,1,1,0
Exp,0,3.48,,540,3.8,1,0,16,16,0,1,1,1,1,1,0
Exp,0,3.73,23,440,1.9231,0,0,3,12,9,1,1,1,0,0,1
Exp,0,3.15,24,,2.3125,0,0,12,18,6,1,1,1,1,1,0
Exp,0,3.28,23,,2.875,1,0,9,9,0,1,1,1,0,0,1
Exp,0,3.83,23,540,3.9375,1,0,11,17,6,1,1,1,1,1,0
Exp,0,3.37,25,520,3.1333,0,0,9,18,9,1,1,1,1,1,0
Exp,0,3.92,22,470,2.4667,0,0,,,,0,0,1,0,0,1
Exp,1,3.53,25,,3.3333,0,0,5,22,17,1,1,1,1,0,0
Exp,0,2.93,24,,2.4286,0,0,,,,1,1,1,1,0,0
Exp,0,3.38,24,,2.9333,0,0,10,19,9,1,1,1,1,1,0
Exp,1,3.45,23,,3.5,0,0,7,12,5,1,1,1,1,1,0
Exp,0,3.03,,560,1.9412,0,1,,,,0,0,1,0,0,1
Exp,0,3.7,25,550,3.2667,0,0,11,23,12,1,1,1,1,1,0
Exp,0,3.24,23,530,3.5625,1,0,,,,1,1,1,1,0,1
Exp,1,3.39,22,,3.625,1,0,11,12,1,1,1,1,0,0,0
Exp,0,3.69,22,,2.8182,0,0,2,21,19,0,0,0,0,0,1
Exp,0,3.53,23,,2.6875,1,0,12,13,1,0,0,1,0,0,1
Exp,0,3.22,24,,0.8182,0,1,,,,1,1,0,0,0,1
Exp,0,3.79,25,560,4,1,0,23,24,1,1,1,1,1,1,0
Exp,0,3.64,22,,3.6,1,0,10,17,7,1,1,1,1,1,0
Exp,0,3.55,22,550,2.9412,1,0,3,15,12,1,1,1,0,0,0
Exp,0,3.6,22,,3.1333,1,0,8,12,4,0,1,0,0,0,1
Exp,0,4.08,25,,3.8667,1,0,2,17,15,1,1,1,1,1,0
Exp,1,3.34,24,520,3.4,1,0,20,26,6,1,1,1,1,1,0
Exp,0,3.02,23,530,3.25,1,0,10,11,1,1,1,1,1,1,0
Exp,0,3.22,23,,2,0,0,6,18,12,0,0,1,0,0,1
Exp,0,3.5,23,540,3.4375,1,0,3,7,4,1,1,1,1,1,0
Exp,0,3.54,24,520,3.4286,0,0,9,24,15,1,1,1,1,0,1
Exp,0,4,24,,3.8667,1,0,17,29,12,1,1,1,0,0,1
Exp,0,3.03,24,,3,0,0,8,12,4,1,1,1,1,0,0
Exp,0,3.01,,540,3,1,0,5,17,12,0,0,1,0,0,1
Exp,0,3.58,24,,3.5385,0,1,,,,0,1,0,0,0,0
Exp,0,3,23,540,3.4375,1,0,10,13,3,1,1,1,1,1,0
Exp,1,4.05,23,570,2.5,0,0,9,22,13,1,1,1,1,1,0
Exp,0,3.2,,540,3.25,1,0,13,24,11,1,1,1,1,1,0
Exp,0,3.16,,570,1.8,0,1,,,,1,1,0,1,0,0
Exp,0,3.64,24,,3.4,1,0,8,14,6,1,1,1,1,1,0
Exp,0,3.26,24,460,2.9333,0,0,2,12,10,1,1,1,1,1,0
Exp,0,4.43,,560,3.4667,0,0,14,15,1,1,1,1,1,1,0
Exp,0,3.96,25,,3.875,1,0,,,,1,1,1,1,1,0
Exp,0,3.9,23,,4,1,0,11,29,18,1,1,1,1,1,0
Exp,0,3.86,23,,3.8125,1,0,9,18,9,0,1,0,0,0,0
Exp,0,3,,550,2.6875,0,0,9,23,14,1,1,1,0,0,0
